,text,summary,Res
0,buy gummy bears running toilet could figure stomach issues gas family started problems went read amazon reviews confirmed taste great pay sure amazon still shelf bad reviews ,major stomach upset do not buy , great product but
1,far product concerned greatest taste well worth money however reason low rating buy sugar free bears pound bag lot product person eat trying watch calories hard bag great haribo gummy bears eating flavor great regular bears ,the best gummy bears ever , delicious
2,eat time never upset stomach gas wish little softer still type diabetic great snack ,great , great for
3,taste good sugar ones best part gives tons gas really fun around friends make sure eat job something ,tastes great makes you , love it
4,delicious ate couple hours later started feel really sick spent whole rest day suffering painful gastrointestinal distress believe occasional side effect sugar substitute problem go right ahead munch away know would try small quantities first make sure cause problems ,made me sick , great for
5,one reviewer mentioned low carbs almost carbs sugar alcohol absorbed body perfectly good low carb diet limit intake time ,low in carbs , great taste
6,great price large package hard find sugarless candy good taste eat many pay ,right price , great candy
7,must say excited find sugarfree gummy bears offer nothing less gastric hangover boot head hours eating mention gas read reviews thought perhaps consumed much sensitive sugar substitute must say claims taste ok one handfull make rest day miserable threw mine wished bought smaller bag try first ,ok taste but , not what expected
8,gummi bears caused wife terrible gas even small handful enough cause effect throw pounds gummi bears away tasted good though pretty chewy guess good gummi bears ,artificial sweeteners , not so good
9,purchased thinking sugar free meant carb free boy wrong carb content regular gold bears lot less flavor ,sugar free but full of carbs , sugar free
10,sugar substitute used laxative caused everyone ate become sick ,toxic gummi bears , sugar
11,like reviewers nasty reaction something gummis going assume sweetener ate couple handfuls course couple hours shortly wound severe intestinal distress lasted good six hours beware gummis reaction alternative sweeteners aside much enjoyed haribo gummi candies buy varieties sugar free ones ,taste great digestive though , yuck
12,taste great tell make run bathroom mins far happens sugar free gummy also tested another family member thing happened beware ,not your normal gummy , great taste
13,like regular ones however give runs big time enough gas solve energy crisis moderation key eating eat handfuls pay ,moderation is the key , great for
14,tried several kinds sugarfree gummi bears far best huge bag even better perfectly chewy notice got little gassy eating pain anything really good worth ,excellent but make you , best gummi bears
15,tempted leave video review sounds coming intestines delicious little guys bed last night wake every hours sit toilet spray favor unless buying tool cheating boyfriend enemy buy dealing constant diarrhea hours around gummy bears worth buy regular gummy bears ,diarrhea you , great stuff
16,omg caution read reviews munching handfuls moment lips hours later stomach pain still equivalent comparison could draw effects would eating ,why did not read the reviews first , horrible
17,taste nearly flavorful yummy regular haribo bears worse yet consuming small number counted followed several hours later gas like every reviewer mentioned buyer beware love haribo chewiness get much else except lot flatulence ,somewhat tasty going in but buyer beware , delicious
18,got days ago nothing build ups gas painful taste okay sugar free trade worth gave bag friend experiencing symptom heart burn top ,call me gassy , not so good
19,tasted thought good sugar ones hour later running bathroom stomach started cramping making sorts noises leave rest want say try sample buy big bag may may digestive system handle oh way ate bears ,taste great after effects horrible , not for me
20,taste really good could even tell difference regular sugarless know use substitute whatever gives really really bad gas sometimes diarrhea painful tried eating twice times results gas say worse two lasts hours hours extremely embarrassing would buy ,great taste horrible stomach issues , not good
21,low carb diet really excited found made sugar free gummy bears however got tried handful got really bad diarrhea mention gas sugar alcohol use sweetener otherwise taste good cannot taste difference regular gummy bears think would buying anytime soon ,these will give you the runs , good but not great
22,gives runs worst sugarless candy ever eaten life buy save calorie intake ate pieces rest bag goes trash amazon haribo get rid product never saw germany runs probably ,laxative if you need it , not what expected
23,low carb reduced sugar diet excellent know coworkers routinely knock sugar free food visit office eat day long almost indistinguishable sugar version laxative effect like foods containing sugar alcohols eat pieces per hour running toilet ,as good as the sugary version , great sugar free alternative
